hwm_id,lon,lat,x_utm10,y_utm10,cell,elev_ft,elev_m,cell_z_m,above_bed_m,is_above_bed,vdatum_id,vdatum,hwm_quality_id,hwm_quality,hwm_environment,survey_date,waterbody
33299,-95.62964572,29.77133324,3196472.4,3629596.6,2703441,81.91,24.966,24.90,0.066,yes,2,NAVD88,3,fair,Riverine,2018-06-22T05:00:00,Buffalo Bayou
33306,-95.56325089,29.75111287,3203865.9,3628976.2,2723362,71.77,21.875,22.17,-0.295,no,2,NAVD88,3,fair,Riverine,2018-06-22T05:00:00,Buffalo Bayou
33304,-95.58309638,29.75220365,3201804.9,3628581.1,2728634,73.92,22.531,22.60,-0.069,no,2,NAVD88,3,fair,Riverine,2018-06-22T05:00:00,Buffalo Bayou
33302,-95.61343,29.75787,3198534.6,3628446.5,169490,78.27,23.857,22.73,1.127,yes,2,NAVD88,3,fair,Riverine,2018-06-22T05:00:00,Buffalo Bayou
33303,-95.61343,29.75787,3198534.6,3628446.5,169490,78.27,23.857,22.73,1.127,yes,2,NAVD88,3,fair,Riverine,2018-06-22T05:00:00,Buffalo Bayou
33305,-95.58309638,29.75220365,3201804.9,3628581.1,2728634,73.92,22.531,22.60,-0.069,no,2,NAVD88,3,fair,Riverine,2018-06-22T05:00:00,Buffalo Bayou
33307,-95.56325089,29.75111287,3203865.9,3628976.2,2723362,71.77,21.875,22.17,-0.295,no,2,NAVD88,3,fair,Riverine,2018-06-22T05:00:00,Buffalo Bayou
33423,-95.7521853,29.7110803,3185761.9,3619333.2,871887,100.629,30.672,30.97,-0.298,no,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,Gulf of America
33424,-95.755842,29.7237439,3185009.6,3620720.0,885010,101.423,30.914,30.60,0.314,yes,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,Gulf of America
33446,-95.4775577,29.7714056,3212009.4,3633616.4,708359,56.355,17.177,7.97,9.207,yes,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,Gulf of America
33448,-95.7084338,29.7619026,3188708.9,3626425.8,967251,100.673,30.685,31.10,-0.415,no,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,Gulf of America
33449,-95.5940274,29.8444673,3197901.8,3639096.1,1894027,108.401,33.041,33.60,-0.559,no,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,Gulf of America
33489,-95.3288035,29.7597673,3227572.2,3636203.1,2890871,4.742,1.445,9.93,-8.485,no,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,gulf of Mexico
29194,-95.729922,29.710604,3188051.2,3619858.9,225521,101.23,30.855,30.10,0.755,yes,2,NAVD88,3,fair,Riverine,2018-05-15T05:00:00,Buffalo Bayou
32751,-95.589361,29.760799,3200905.4,3629422.8,2720220,68.6,20.909,21.20,-0.291,no,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
33487,-95.3577872,29.7636001,3224491.1,3635880.6,2888096,9.365,2.854,11.37,-8.516,no,2,NAVD88,3,fair,Coastal,2018-06-20T05:00:00,gulf of Mexico
33469,-95.3806367,29.7634909,3222158.0,3635260.0,715677,40.862,12.455,12.53,-0.075,no,2,NAVD88,2,good,Coastal,2018-07-14T05:00:00,Gulf of America
33490,-95.3200331,29.7561089,3228581.0,3636008.0,2900043,3.854,1.175,10.00,-8.825,no,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,gulf of Mexico
33488,-95.3673687,29.7631891,3223523.9,3635577.5,2887647,16.374,4.991,10.57,-5.579,no,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,gulf of Mexico
32844,-95.5312,29.7472,3207260.0,3629363.1,2768866,54.41,16.584,17.50,-0.916,no,2,NAVD88,3,fair,Riverine,2018-06-19T05:00:00,Buffalo Bayou
33491,-95.3433177,29.761923,3226022.0,3636069.2,721928,5.484,1.672,9.57,-7.898,no,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,gulf of Mexico
33492,-95.3519555,29.7654572,3225030.8,3636253.4,2886806,9.482,2.890,10.80,-7.910,no,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,gulf of Mexico
33493,-95.3574424,29.7630497,3224543.2,3635825.2,721771,7.781,2.372,11.23,-8.858,no,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,gulf of Mexico
33494,-95.7432969,29.7261214,3186220.1,3621325.9,885952,100.579,30.656,30.20,0.456,yes,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,gulf of Mexico
34938,-95.4208237,29.7576711,3218226.1,3633510.7,2858028,42.4,12.924,8.27,4.654,yes,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,Gulf of America
34942,-95.4205065,29.7577854,3218255.1,3633532.5,178570,44.1,13.442,7.70,5.742,yes,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,Gulf of America
34941,-95.4166876,29.7574005,3218657.2,3633588.7,2904662,41.1,12.527,12.30,0.227,yes,2,NAVD88,4,poor,Coastal,2018-07-14T05:00:00,Gulf of America
34940,-95.4203312,29.7577318,3218274.6,3633530.9,2858039,44.1,13.442,8.37,5.072,yes,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,Gulf of America
34939,-95.4169893,29.7574894,3218623.7,3633591.2,181459,44.0,13.411,7.27,6.141,yes,2,NAVD88,3,fair,Coastal,2018-07-14T05:00:00,Gulf of America
33408,-95.5406811,29.7561574,3206020.0,3630162.1,668079,67.764,20.654,21.87,-1.216,no,2,NAVD88,5,unknown,Coastal,2018-07-14T05:00:00,Gulf of America
